Materia,iddomanda,domanda,risposta1,risposta2,risposta3,risposta4,risposta_corretta
SIMULAZIONE BUSTA B,SIMB6,Quanto sangue mediamente il cuore spinge in circolo in un minuto?,70 ml,Circa 5 litri,Circa 120 ml ,,Circa 5 litri
SIMULAZIONE BUSTA B,SIMB7,Quale organo è principalmente addetto alla produzione di Eritropoietina?,Rene,Fegato,Midollo osseo ,,Rene
SIMULAZIONE BUSTA B,SIMB8,Cosa è un virus ?,Microrganismo autosufficiente,Microrganismo di forma cilindrica,Microrganismo non autosufficiente ,,Microrganismo non autosufficiente 
SIMULAZIONE BUSTA B,SIMB9,La disinfezione è definita come:,Insieme di misure attuate per rimuovere fisicamente la sporcizia,Insieme di misure attuate per ridurre il numero di microrganismi capaci di provocare malattia,Insieme di misure attuate per distruggere completamente tutte le forme di vita microbica ,,Insieme di misure attuate per ridurre il numero di microrganismi capaci di provocare malattia
SIMULAZIONE BUSTA B,SIMB10,Cosa è la chemioprofilassi?,E' una tecnica di disinfezione,E' un tipo di chemioterapia,E' la somministrazione di farmaci particolari con lo scopo di impedire l'insorgenza delle malattie in alcuni casi ,,E' la somministrazione di farmaci particolari con lo scopo di impedire l'insorgenza delle malattie in alcuni casi 
SIMULAZIONE BUSTA B,SIMB11,Che cosa si intende per massaggio curativo?,Un massaggio che serve per migliorare lo stato cutaneo ma non tratta la muscolatura,Una serie di manovre fisiche che modificano l'organismo,Un massaggio che prepara ad una attività sportiva ,,Una serie di manovre fisiche che modificano l'organismo
SIMULAZIONE BUSTA B,SIMB12,Quali sono le zone semi interdette del massaggio?,Cavo ascellare  zona retro malleolare  cavo popliteo  osso sacro  sartorio ,Faccia antero laterale del collo  zona retroauricolare  solco tibiale  zona anteriore del gomito ,Apofisi spinose  retto femorale  quadrato dei lombi  piccolo romboide  ,,Faccia antero laterale del collo  zona retroauricolare  solco tibiale  zona anteriore del gomito 
SIMULAZIONE BUSTA B,SIMB13,Quale è l'utilità della vibrazione?,Produce rilassamento alla muscolatura e in corrispondenza di organi può indurre ad un aumento della Peristalsi,Prepara il muscolo ad essere percosso con la percussione ulnare,Lavora sulle fibre trasverse del muscolo per togliere grosse miogelosi ,,Produce rilassamento alla muscolatura e in corrispondenza di organi può indurre ad un aumento della Peristalsi
SIMULAZIONE BUSTA B,SIMB14,Quali sono le condizioni necessarie per effettuare un massaggio adeguato?,Ambiente adeguato  materiale corretto  condizioni dell' operatore e temperatura di 24° ,Totale rilassamento dell'operatore,Ambiente adeguato  materiale corretto  condizioni dell' operatore e temperatura di 28-29° ,,Ambiente adeguato  materiale corretto  condizioni dell' operatore e temperatura di 24° 
SIMULAZIONE BUSTA B,SIMB15,Quali norme deve adottare un massaggiatore prima di cominciare un massaggio?,Avere le mani calde e bagnate  portare anelli  avere le unghie tagliate ,Avere le mani sudate  avere i presidi perla propria tutela  avere un abbigliamento comodo ,Avere le mani calde  avere i presidi per la propria salute  tenere una corretta postura  ,,Avere le mani calde  avere i presidi per la propria salute  tenere una corretta postura  
SIMULAZIONE BUSTA B,SIMB16,Il muscolo tibiale anteriore:,Estende il piede,Flette e supina il piede,Flette e prona il piede ,,Flette e supina il piede
SIMULAZIONE BUSTA B,SIMB17,Il punto riflesso del pancreas si trova:,Nella zona polposa del piede destro,Nella zona polposa del piede sinistro (testa e corpo) e prosegue nel piede destro (coda),Nella zona polposa del piede sinistro (coda e corpo) e prosegue nel piede destro (testa) ,,Nella zona polposa del piede sinistro (coda e corpo) e prosegue nel piede destro (testa) 
SIMULAZIONE BUSTA B,SIMB18,Il percorso per un normale trattamento è così composto:,Il coccolamento  il trattamento dell' apparato gastrico  il trattamento all apparato interessato  e i reni ,Il trattamento dei reni  il coccolamento  e l'organo bersaglio ,Il coccolamento  i reni  l'organo bersaglio  i reni e il coccolamento  ,,Il coccolamento  i reni  l'organo bersaglio  i reni e il coccolamento  
SIMULAZIONE BUSTA B,SIMB19,Il punto riflesso delle gonadi si trova:,Sul piede sinistro in visione laterale sotto la zona malleolare,Sul piede destro in visione laterale sotto la zona malleolare,Su ambedue i piedi in visione laterale sotto la zona malleolare ,,Su ambedue i piedi in visione laterale sotto la zona malleolare 
SIMULAZIONE BUSTA B,SIMB20,In IdroKinesi la temperatura Neutra dell'acqua si considera quando?,La temperatura è di circa 38-39°,La temperatura è di circa 34-35°,La temperatura è di circa 28-29° ,,La temperatura è di circa 34-35°
SIMULAZIONE BUSTA B,SIMB21,Nella seduta di IdroKinesi l'acqua allo stato solido  ghiaccio  può essere utilizzata?,Non può essere utilizzata,Solo in vasche specifiche,Nella fase acuta post-traumatica ,,Non può essere utilizzata
SIMULAZIONE BUSTA B,SIMB22,L'Idrodinamicità in relazione alle Turbolenze?,Maggiore è l'Idrodinamicità maggiori sono le Turbolenze,Maggiore è l'Idrodinamicità minori sono le Turbolenze,L'Idrodinamicità non ha nulla in relazione con le Turbolenze ,,Maggiore è l'Idrodinamicità minori sono le Turbolenze
SIMULAZIONE BUSTA B,SIMB23,In IdroKinesi un corpo cambiando il suo peso specifico varia la sua posizione in acqua?,Se il peso specifico del corpo è maggiore dell'acqua sarà in sospensione,Se il peso specifico del corpo è uguale all'acqua sarà in galleggiamento,Se il peso specifico del corpo è minore dell'acqua sarà in galleggiamento ,,Se il peso specifico del corpo è minore dell'acqua sarà in galleggiamento 
SIMULAZIONE BUSTA B,SIMB24,La viscosità da considerarsi elemento importante ed interessante per l'IdroKinesi?,E' una grandezza fisica in riferimento ai solidi,Permette ad un corpo di muoversi all'intento di un fluido con maggiore o minore attrito,Nessuna delle precedenti ,,Permette ad un corpo di muoversi all'intento di un fluido con maggiore o minore attrito
SIMULAZIONE BUSTA B,SIMB25,Controindicazioni assolute del linfodrenaggio:,Asma,Infezioni in fase acuta,Insufficienza renale ,,Infezioni in fase acuta
SIMULAZIONE BUSTA B,SIMB26,Il dotto toracico:,Raccoglie la linfa proveniente da tutto il corpo,Raccoglie la linfa proveniente da capo e arto superiore sinistro,Raccoglie la linfa proveniente dalla metà sottodiaframmatica e dalla metà superiore sinistra del corpo ,,Raccoglie la linfa proveniente dalla metà sottodiaframmatica e dalla metà superiore sinistra del corpo 
SIMULAZIONE BUSTA B,SIMB27,Il linfonodo è:,Denervato,Innervato,Liscio ,,Innervato
SIMULAZIONE BUSTA B,SIMB28,La circolazione linfatica avviene:,In senso centripeto,In senso centrifugo,In nessun senso ,,In senso centripeto
SIMULAZIONE BUSTA B,SIMB29,I filamenti di ancoraggio hanno funzione di:,Mantenere in sede il linfonodo,Di consentire un'apertura maggiore dei pori dei capillari stessi,Di consentire un'apertura minore dei pori dei capillari stessi ,,Di consentire un'apertura maggiore dei pori dei capillari stessi
SIMULAZIONE BUSTA B,SIMB30,Le valvole dei vasi linfatici sono:,Passive,Attive sotto controllo del sistema nervoso centrale,Attive sotto controllo del sistema nervoso periferico ,,Passive
SIMULAZIONE BUSTA B,SIMB31,Il tessuto connettivo:,Ha la funzione di connettere i vari organi nella loro formazione,Ha la funzione di tradurre le informazioni,Ha la funzione di portare nutrimenti e ossigeno ,,Ha la funzione di connettere i vari organi nella loro formazione
SIMULAZIONE BUSTA B,SIMB32,Il tessuto connettivale:,È soltanto di un tipo,Ce ne sono tipologie diverse,Nessuna risposta esatta ,,Ce ne sono tipologie diverse
SIMULAZIONE BUSTA B,SIMB33,I tessuti connettivali si differenziano per:,La concentrazione e la disposizione delle cellule,Dalla concentrazione proteica,Dalla presenza di lipidi ,,La concentrazione e la disposizione delle cellule
SIMULAZIONE BUSTA B,SIMB34,Il massaggio connettivale:,Segue la legge della segmentazione,Segue la legge della polarizzazione,Non segue nessuna legge ,,Segue la legge della segmentazione
SIMULAZIONE BUSTA B,SIMB35,La manovra del sottocutaneo:,È la più profonda,È la più leggera,È la manovra intermedia ,,È la manovra intermedia 
SIMULAZIONE BUSTA B,SIMB36,Quali sono i materiali con cui è realizzato il TapeKinesiologico?,Fibre di cotone  carta  fibre elastiche longitudinali e trasversali  colla adesiva ,Fibre di cotone  carta  fibre elastiche longitudinali  colla adesiva ,Fibre di cotone  fibre elastiche longitudinali  colla adesiva  ,,Fibre di cotone  carta  fibre elastiche longitudinali  colla adesiva 
SIMULAZIONE BUSTA B,SIMB37,Come deve essere la cute per poter applicare il TapeKinesiologico?,Non è importante perchè in ogni caso può essere applicato,Integra  detersa e preferibilmente priva di peli ,Integra senza versamenti ematici sottocutanei  detersa e preferibilmente priva di peli  ,,Integra  detersa e preferibilmente priva di peli 
SIMULAZIONE BUSTA B,SIMB38,Il Tape Kinesiologico è consigliabile applicarlo con tensione massima 100%?,Si,No,Dipende se applicato in proiezione cutanea articolare o muscolare ,,No
SIMULAZIONE BUSTA B,SIMB39,A che età in generale il lavoratore può iniziare a lavorare?,19,16,16 e deve avere espletato l'obbligo d'istruzione ,,16 e deve avere espletato l'obbligo d'istruzione 
SIMULAZIONE BUSTA B,SIMB40,Il lavoratore deve essere adibito alle mansioni per le quali è stato assunto?,Si,Si  ma solo se lavora nelle aziende chimiche ,No ,,Si
SIMULAZIONE BUSTA B,SIMB41,Il lavoratore di un'azienda privata può essere destinato a svolgere  durante il rapporto di lavoro  mansioni superiori?,No,Si  ma solo se il contratto collettivo lo prevede ,Si ,,Si 
SIMULAZIONE BUSTA B,SIMB42,Che cos'è la capacità giuridica?,Capacità di essere titolare di diritti e di obblighi,Capacità di poter disporre dei propri diritti e di poter assumere obblighi,Capacità di poter acquistare un appartamento ,,Capacità di essere titolare di diritti e di obblighi
SIMULAZIONE BUSTA B,SIMB43,La mio fascia è distribuita in:,Zone limitate del corpo,Una serie di fasce segmentate,Una rete ubiquitaria ,,Una rete ubiquitaria 
SIMULAZIONE BUSTA B,SIMB44,Nella sede di un ematoma muscolare il massaggio è:,Indicato,Controindicato,Dipende dal caso ,,Controindicato
SIMULAZIONE BUSTA B,SIMB45,Il massaggio miofasciale migliora:,La postura,La cellulite,Il tono della pelle ,,La postura
SIMULAZIONE BUSTA B,SIMB46,Le manovre del miofasciale:,Seguono un ordine sequenziale,Non hanno una sequenza,Si effettuano liberamente ,,Seguono un ordine sequenziale
SIMULAZIONE BUSTA B,SIMB47,Le funzioni delle frizioni sono:,Antalgiche,Stimolanti,Defibrosanti ,,Defibrosanti 
SIMULAZIONE BUSTA B,SIMB48,In caso in cui l'atleta nonostante il massaggio continui a avere dolore,Deve rinunciare alla competizione,Occorre mandarlo dal medico sociale per la decisione finale,Può cominciare la competizione ed al limite si ritira ,,Occorre mandarlo dal medico sociale per la decisione finale
SIMULAZIONE BUSTA B,SIMB49,Quanto dura un massaggio post gara?,Tra i 15 e i 20 minuti,Tra i 50 ed i 70 minuti,Tra i 40 e 50 minuti ,,Tra i 40 e 50 minuti 
SIMULAZIONE BUSTA B,SIMB50,Cosa sono i distretti secondari di lavoro:,Sono le zone che compartecipano all'azione dei muscoli primari,Sono le zone che si attivano secondariamente all'azione dei muscoli,Sono le zone sottoposte al lavoro primario durante lo sforzo sportivo ,,Sono le zone che compartecipano all'azione dei muscoli primari
SIMULAZIONE ALTRE BUSTE 1,VATB1_1,La membrana cellulare fondamentalmente è [VERIFICARE - È un doppio strato fosfolipidico!],uno strato lipidico che individua la cellula e la separa dall'interstizio,Un doppio strato lipoproteico con annessa qualche molecola glucidica,Un doppio strato proteico con proteine superficiali e a tutto spessore,,Un doppio strato proteico con proteine superficiali e a tutto spessore
SIMULAZIONE ALTRE BUSTE 1,VATB1_2,il diaframma sostanzialmente [VERIFICARE - potrebbero essere emtrambe A e B],Un muscolo espiratorio appartenente alla parete addominale,Un muscolo inspiratorio foggiato ad ombrello che separa il torace dall'addome,un muscolo liscio a forma di cupola,,Un muscolo espiratorio appartenente alla parete addominale
SIMULAZIONE ALTRE BUSTE 1,VATB1_3,gran parte dell'orecchio è sistemata,nella piramide dell'osso temporale,nel complesso osso sfenoide,nella Rocca Petrosa dell'osso temporale e parte del frontale,,nella piramide dell'osso temporale
SIMULAZIONE ALTRE BUSTE 1,VATB1_4,la gabbia toracica formata da,dodici paia di coste  lo sterno e il tratto toracico della colonna vertebrale,dodici paia di coste e lo sterno anteriormente,dodici paia di coste  lo sterno e il tratto lombare della colonna vertebrale,,dodici paia di coste  lo sterno e il tratto toracico della colonna vertebrale
SIMULAZIONE ALTRE BUSTE 1,VATB1_5,i segmenti ossei della gamba sono rappresentati da,Femore  perone  e radio in posizione anatomica normale,femore  fibula e tibia  in posizione anatomica normale,Tibia e perone  rispettivamente mediale e laterale in posizione anatomica normale,,Tibia e perone  rispettivamente mediale e laterale in posizione anatomica normale
SIMULAZIONE ALTRE BUSTE 1,VATB1_6,quanto sangue mediamente il cuore spinge in circolo in un minuto?,70ml,circa 5 litri,circa 120ml,,circa 5 litri
SIMULAZIONE ALTRE BUSTE 1,VATB1_7,Quale organo principalmente addetto alla produzione di eritropoietina,Rene,Fegato,midollo osseo,,Rene
SIMULAZIONE ALTRE BUSTE 1,VATB1_8,Cos'è un virus,Microorganismo autosufficiente,microorganismo di forma cilindrica,microorganismo non autosufficiente,,microorganismo non autosufficiente
SIMULAZIONE ALTRE BUSTE 1,VATB1_9,la disinfezione è definita come,Insieme di misure attuate per rimuovere fisicamente la sporcizia,Insieme di misure attuate per ridurre il numero di microorganismi capaci di provocare malattia,Insieme di misure attuate per distruggere completamente tutte le forme di vita microbiche,,Insieme di misure attuate per ridurre il numero di microorganismi capaci di provocare malattia
SIMULAZIONE ALTRE BUSTE 1,VATB1_10,Cos'è la chemiprofilassi,è una tecnica di disinfezione,è un tipo di chemioterapia,è la somministrazione di farmaci particolari con lo scopo di impedire l'insorgenza di malattie in alcuni casi,,è la somministrazione di farmaci particolari con lo scopo di impedire l'insorgenza di malattie in alcuni casi
SIMULAZIONE ALTRE BUSTE 1,VATB1_11,Cosa si intende per massaggio curativo,Un massaggio che serve per migliorare lo stato cutaneo ma non tratta la muscolatura,una serie di manovre fisiche che modificano l'organismo,Un massaggio che prepara all'attività sportiva,,una serie di manovre fisiche che modificano l'organismo
SIMULAZIONE ALTRE BUSTE 1,VATB1_12,quali sono le zone semi interdette del massaggio,cavo ascellare  zona retro malleolare cavo popliteo  osso sacro  sartorio,faccia anterolaterale del collo  zona retroauricolare  solco tibiale  zona anteriore del gomito,Capofisi spinose  retto femorale  quadrato dei lombi  piccolo romboide,,faccia anterolaterale del collo  zona retroauricolare  solco tibiale  zona anteriore del gomito
SIMULAZIONE ALTRE BUSTE 1,VATB1_13,Qual è l'utilità della vibrazione,Produce rilassamento alla muscolatura  e in corrispondenza di organi può indurre ad un aumento della peristalsi,prepara il muscolo ad essere percosso con la percussione ulnare,lavora sulle fibre trasverse del muscolo per togliere grosse miogelosi,,Produce rilassamento alla muscolatura  e in corrispondenza di organi può indurre ad un aumento della peristalsi
SIMULAZIONE ALTRE BUSTE 1,VATB1_14,Quali sono le condizioni necessarie per effettuare un massaggio adeguato,ambiente adeguato  materiale corretto  condizioni dell'operatore e temperatura di 24∘C,totale rilassamento dell'operatore,ambiente adeguato  materiale corretto  condizioni dell'operatore e temperatura di 28−29∘,,ambiente adeguato  materiale corretto  condizioni dell'operatore e temperatura di 24∘C
SIMULAZIONE ALTRE BUSTE 1,VATB1_15,quali norme deve adottare un massaggiatore prima di cominciare un massaggio,avere le mani calde e bagnate  portare anelli  avere le unghie tagliate,avere le mani sudate  avere i presidi per la propria tutela  avere un abbigliamento comodo,avere le mani calde  avere i presidi per la propria salute  tenere una corretta postura,,avere le mani calde  avere i presidi per la propria salute  tenere una corretta postura
SIMULAZIONE ALTRE BUSTE 1,VATB1_16,il muscolo tibiale anteriore,Estende il piede,flette e supina il piede,flette e prona il piede,,flette e supina il piede
SIMULAZIONE ALTRE BUSTE 1,VATB1_17,il punto riflesso del pancreas si trova,nella zona polposa del piede destro,nella zona polposa del piede sinistro (testa e corpo) e prosegue nel piede destro (coda),nella zona polposa del piede sinistro (coda e corpo) e prosegue nel piede destro (testa),,nella zona polposa del piede sinistro (coda e corpo) e prosegue nel piede destro (testa)
SIMULAZIONE ALTRE BUSTE 1,VATB1_18,il percorso per un normale trattamento è cosi composto,Il coccolamento  il trattamento dell'apparato gastrico  il trattamento dell'apparato interessato e i reni,il trattamento dei reni  il coccolamento  e l'organo bersaglio,il coccolamento  i reni  l'organo bersaglio  i reni e il coccolamento,,il coccolamento  i reni  l'organo bersaglio  i reni e il coccolamento
SIMULAZIONE ALTRE BUSTE 1,VATB1_19,il punto riflesso delle gonadi si trova,sul piede sinistro  in visione laterale sotto la zona malleolare,sul piede destro  in visione laterale sotto la zona malleolare,su ambedue i piedi in visione laterale sotto la zona malleolare,,su ambedue i piedi in visione laterale sotto la zona malleolare
SIMULAZIONE ALTRE BUSTE 1,VATB1_20,in IdroKinesi la temperatura Neutra dell'acqua si considera quando,La temperatura è di circa 38∘−39∘,La temperatura è di circa 34∘−35∘,La temperatura è di circa 28∘−29∘,,La temperatura è di circa 34∘−35∘
SIMULAZIONE ALTRE BUSTE 1,VATB1_21,Nella seduta di IdroKinesi  l'acqua allo stato solido  ghiaccio  può essere utilizzata?,Non può essere utilizzata,solo in vasche specifiche,nella fase acuta post-traumatica,,Non può essere utilizzata
SIMULAZIONE ALTRE BUSTE 1,VATB1_22,L'idrodinamicità in relazione alle turbolenze?,Maggiore è l'idrodinamicità maggiori sono le turbolenze,Maggiore è l'idrodinamicità minori sono le turbolenze,L'idrodinamicità non ha nulla in relazione alle turbolenze,,Maggiore è l'idrodinamicità minori sono le turbolenze
SIMULAZIONE ALTRE BUSTE 1,VATB1_23,In IdroKinesi un corpo cambiando il suo peso specifico  varia la sua posizione in acqua,Se il peso specifico del corpo è maggiore dell'acqua  sarà in sospensione,Se il peso specifico del corpo è uguale all'acqua  sarà in galleggiamento,Se il peso specifico del corpo è minore dell'acqua sarà in galleggiamento,,Se il peso specifico del corpo è minore dell'acqua sarà in galleggiamento
SIMULAZIONE ALTRE BUSTE 1,VATB1_24,La viscosità da considerarsi elemento importante ed interessante per l'IdroKinesi?,una grandezza fisica in riferimento ai solidi,Permette ad un corpo di muoversi all'interno di un fluido con maggiore o minore attrito,nessuna delle precedenti,,Permette ad un corpo di muoversi all'interno di un fluido con maggiore o minore attrito
SIMULAZIONE ALTRE BUSTE 1,VATB1_25,Controindicazioni assolute del Linfodrenaggio:,Asma,infezioni acute,Insufficienza renale,,infezioni acute
SIMULAZIONE ALTRE BUSTE 1,VATB1_26,Il dotto toracico,Raccoglie la linfa proveniente da tutto il corpo,Raccoglie la linfa proveniente da capo e arto superiore sinistro,Raccoglie la linfa proveniente dalla metà sottodiaframmatica e dalla metà superiore sinistra del corpo,,Raccoglie la linfa proveniente dalla metà sottodiaframmatica e dalla metà superiore sinistra del corpo
SIMULAZIONE ALTRE BUSTE 1,VATB1_27,Il Linfonodo è,Denervato,Innervato,Liscio,,Innervato
SIMULAZIONE ALTRE BUSTE 1,VATB1_28,La circolazione linfatica avviene,In senso centripeto,In senso centrifugo,In nessun senso,,In senso centripeto
SIMULAZIONE ALTRE BUSTE 1,VATB1_29,I filamenti di ancoraggio hanno funzione di,Mantenere in sede il Linfonodo,Di consentire un'apertura maggiore dei pori dei capillari stessi,Di consentire un'apertura minore dei pori dei capillari stessi,,Di consentire un'apertura maggiore dei pori dei capillari stessi
SIMULAZIONE ALTRE BUSTE 1,VATB1_30,Le valvole dei vasi linfatici sono:,Passive,Attive sotto il controllo del sistema nervoso centrale,Attive sotto il controllo del sistema nervoso periferico,,Passive
SIMULAZIONE ALTRE BUSTE 1,VATB1_31,Il tessuto connettivo,Ha la funzione di connettere i vari organi nella loro formazione,Ha la funzione di tradurre le informazioni,Ha la funzione di portare nutrimento e ossigeno,,Ha la funzione di connettere i vari organi nella loro formazione
SIMULAZIONE ALTRE BUSTE 1,VATB1_32,il tessuto connettivale,E' soltanto di un tipo,Ce ne sono tipologie diverse,Nessuna risposta esatta,,Ce ne sono tipologie diverse
SIMULAZIONE ALTRE BUSTE 1,VATB1_33,I tessuti connettivali si differenziano per,La concentrazione e la disposizione delle cellule,Dalla concentrazione proteica,Dalla presenza di lipidi,,La concentrazione e la disposizione delle cellule
SIMULAZIONE ALTRE BUSTE 1,VATB1_34,il massaggio connettivale,Segue la legge della segmentazione,Segue la legge della polarizzazione,Non segue nessuna legge,,Segue la legge della segmentazione
SIMULAZIONE ALTRE BUSTE 1,VATB1_35,La manovra del sottocutaneo (risposta corretta non si sa  messa A per ora),è la più profonda,è la più leggera,è la manovra intermedia,,è la più profonda
SIMULAZIONE ALTRE BUSTE 1,VATB1_36,Quali sono i materiali con cui è realizzato il tape Kinesiologico,Fibre di cotone  carta  fibre elastiche longitudinali e trasversali  colla adesiva,Fibre di cotone  carta  fibre elastiche longitudinali  colla adesiva,Fibre di cotone  fibre elastiche longitudinali  colla adesiva,,Fibre di cotone  carta  fibre elastiche longitudinali  colla adesiva
SIMULAZIONE ALTRE BUSTE 1,VATB1_37,Come deve essere la cute per poter applicare il TapeKinesiologico?,Non è importante perché in ogni caso può essere applicato,Integra  detersa e preferibilmente priva di peli,Integra senza versamenti ematici sottocutanei  detersa e preferibilmente priva di peli,,Integra  detersa e preferibilmente priva di peli
SIMULAZIONE ALTRE BUSTE 1,VATB1_38,Il tapeKinesiologico è consigliabile applicarlo con tensione al 100%,Si,No,Dipende se applicato in proiezione cutanea,,No
SIMULAZIONE ALTRE BUSTE 1,VATB1_39,A che età in generale  il lavoratore può iniziare a lavorare?,19,16,16 e deve avere espletato l'obbligo di istruzione,,16 e deve avere espletato l'obbligo di istruzione
SIMULAZIONE ALTRE BUSTE 1,VATB1_40,Il lavoratore deve essere adibito alle mansioni per le quali è stato assunto?,Si,Si ma solo se lavora nelle aziende chimiche,No,,Si
SIMULAZIONE ALTRE BUSTE 1,VATB1_41,Il lavoratore di un'azienda privata può essere destinato a svolgere durante il rapporto di lavoro  mansioni superiori?,No,Si  ma solo se il contratto collettivo lo prevede,Si,,Si
SIMULAZIONE ALTRE BUSTE 1,VATB1_42,Che cos'è la capacità Giuridica?,Capacità di essere titolare di diritti e obblighi,Capacità di poter disporre dei propri diritti e di poter assumere obblighi,Capacità di poter acquistare un appartamento,,Capacità di essere titolare di diritti e obblighi
SIMULAZIONE ALTRE BUSTE 1,VATB1_43,La mio fascia è distribuita in,Zone limitate del corpo,Una serie di fasce segmentate,Una rete ubiquitaria,,Una rete ubiquitaria
SIMULAZIONE ALTRE BUSTE 1,VATB1_44,Nella sede di un ematoma muscolare il massaggio è,Indicato,Controindicato,Dipende dal caso,,Controindicato
SIMULAZIONE ALTRE BUSTE 1,VATB1_45,Il massaggio miofasciale migliora,La postura,La cellulite,il tono della pelle,,La postura
SIMULAZIONE ALTRE BUSTE 1,VATB1_46,Le manovre del Miofasciale,Seguono un ordine sequenziale,Non hanno una sequenza,Si effettuano liberamente,,Seguono un ordine sequenziale
SIMULAZIONE ALTRE BUSTE 1,VATB1_47,Le funzioni delle frizioni sono:,Antalgiche,Stimolanti,Defibrosanti,,Defibrosanti
SIMULAZIONE ALTRE BUSTE 1,VATB1_48,In caso in cui l'atleta  nonostante il massaggio  continui ad avere dolore,Deve rinunciare alla competizione,Occorre mandarlo dal medico sociale per la decisione finale,Può incominciare la competizione e al limite si ritira,,Occorre mandarlo dal medico sociale per la decisione finale
SIMULAZIONE ALTRE BUSTE 1,VATB1_49,Quanto dura un massaggio post-gara?,Tra il 5 e i 20 minuti,Tra i 50 e i 70 minuti,Tra i 40 e i 50 minuti,,Tra i 40 e i 50 minuti
SIMULAZIONE ALTRE BUSTE 1,VATB1_50,Cosa sono i distretti secondari di lavoro,Sono le zone che compartecipano all'azione dei muscoli primari,Sono le zone che si attivano secondariamente all'azione dei muscoli,Sono le zone sottoposte al lavoro primario durante lo sforzo sportivo,,Sono le zone che compartecipano all'azione dei muscoli primari
SIMULAZIONE ALTRE BUSTE 2,VATB2_1,Le articolazioni tra coste e rachide dorsale sono classificate come [VERIFICARE - Dovrebbe essere A],Artrodie,Sinartrosi,Enartrosi complesse,,Sinartrosi
SIMULAZIONE ALTRE BUSTE 2,VATB2_2,La Grande Cavità pelvica si può identificare con lo spazio,Sottostante lo stretto superiore,Delimitato dalle due anche,Corrispondente alle fosse iliache interne,,Delimitato dalle due anche
SIMULAZIONE ALTRE BUSTE 2,VATB2_3,L'osso occipitale è,Un osso pari e simmetrico ospitante sul versante interno le fosse occipitali,Un osso impari e mediano ospitante le fosse occipitali e cerebellari,un osso impari situato anteriormente e delimitante le cavità orbitarie,,Un osso impari e mediano ospitante le fosse occipitali e cerebellari
SIMULAZIONE ALTRE BUSTE 2,VATB2_4,La colonna vertebrale presenta le seguenti curve fisiologiche,Lordosi cervicale  cifosi dorsale  lordosi lombare  e cifosi sacro-coccigea,Lordosi cervicale e toracica  cifosi lombare e lordosi sacro-coccigea,Cifosi cervicale  lordosi toraco-lombare e cifosi sacro-coccigea,,Lordosi cervicale  cifosi dorsale  lordosi lombare  e cifosi sacro-coccigea
SIMULAZIONE ALTRE BUSTE 2,VATB2_5,Le prominenze ossee apprezzabili al tatto sulla linea mediana posteriore corrispondono a,Processi trasversi delle vertebre,processi spinosi delle vertebre,Processi articolari verterbrali,,processi spinosi delle vertebre
SIMULAZIONE ALTRE BUSTE 2,VATB2_6,Quali compiti svolgono fondamentalmente le proteine?,Forniscono energia a pronta e lenta utilizzazione,Hanno una funzione plastica e bioregolatoria,Hanno un ruolo costruttivo e di deposito di energia,,Hanno una funzione plastica e bioregolatoria
SIMULAZIONE ALTRE BUSTE 2,VATB2_7,Quali compiti svolge il Duodeno?,Motoria  endocrina  digestiva e di assorbimento,Motoria e di assorbimento delle unità elementari dei nutrienti,Motoria digestiva e di assorbimento,,Motoria  endocrina  digestiva e di assorbimento
SIMULAZIONE ALTRE BUSTE 2,VATB2_8,Cos'è l'igiene,Disciplina che studia la diffusione delle infezioni,Modalità di trasmissione delle malattie infettive,Branca della medicina che mira alla tutela della salute collettiva ed individuale attraverso la prevenzione,,Branca della medicina che mira alla tutela della salute collettiva ed individuale attraverso la prevenzione
SIMULAZIONE ALTRE BUSTE 2,VATB2_9,La disinfezione è definita come,Insieme di misure attuate per rimuovere fisicamente la sporcizia,Insieme di misure attuate per ridurre il numero di microorganismi capaci di provocare malattia,Insieme di misure attuate per distruggere completamente tutte le forme di vita microbica,,Insieme di misure attuate per ridurre il numero di microorganismi capaci di provocare malattia
SIMULAZIONE ALTRE BUSTE 2,VATB2_10,Cosa sono i guanti,Dispositivi di protezione individuale,Dispositivi di prevenzione individuale,Attrezzature sanitarie,,Dispositivi di protezione individuale
SIMULAZIONE ALTRE BUSTE 2,VATB2_11,Quanti e quali sono i massaggi,Sono 5: mass. Curativo  terapeutico  olistico  estetico  sportivo,Sono 6: mass. terapeutico  curativo  olistico  estetico  igienico  sportivo,Sono 5: mass. curativo  olistico  sportivo  igienico  estetico,,Sono 5: mass. curativo  olistico  sportivo  igienico  estetico
SIMULAZIONE ALTRE BUSTE 2,VATB2_12,Indicare l'utilità dell'impastamento,Favorisce l'eliminazione dei cataboliti  e scioglie le miogelosi,Diminuzione del tono muscolare con effetto mio-rilassante,A livello cutaneo determina una risoluzione a stati aderenziali con effetto iperemizzante,,Diminuzione del tono muscolare con effetto mio-rilassante
SIMULAZIONE ALTRE BUSTE 2,VATB2_13,Lo scuotimento provoca,Una caduta del tono muscolare e conseguente rilassamento muscolare,Lo scioglimento delle contratture,Una tonificazione muscolare,,Una caduta del tono muscolare e conseguente rilassamento muscolare
SIMULAZIONE ALTRE BUSTE 2,VATB2_14,In caso di impossibilità di effettuare il massaggio causato dal dolore,Continuo a massaggiare fino ad attenuare il dolore,Prescrivo un antiinfiammatorio e lo rivedo in un altro momento,Interrompo immediatamente la seduta,,Interrompo immediatamente la seduta
